UniqueCount	AmbigCount
0	701
0	671
0	666
0	662
0	650
0	147
1	50
1	21
0	65
0	563
0	13
0	55
0	37
0	42
0	37
0	22
0	16
0	13
0	677
0	1501
1	1013
5	1167
6	1358
0	146
43	376
43	1096
0	625
2	1314
0	432
4	456
0	438
0	66
2	533
0	607
2	725
1	628
0	614
0	42
3	638
4	616
3	81
0	726
2	8
8	14
0	1717
0	11
0	7
0	17
0	8
4	4
1	350
0	310
0	231
0	285
0	18
5	230
10	113
1	30
0	143
15	183
0	21
0	99
0	51
0	80
0	23
0	42
5	53
0	25
0	55
0	28
0	32
0	521
0	649
0	195
1	122
7	987
11	1554
3	1213
2	841
0	226
6	486
0	870
25	121
0	942
0	1117
0	865
0	814
0	196
2	108
0	786
0	264
1	824
0	177
0	52
0	300
0	96
0	258
0	916
1	947
0	166
0	164
0	957
0	817
0	927
0	789
18	75
1	453
0	83
19	65
0	203
0	40
0	137
0	115
4	201
0	0
0	75
0	125
0	477
0	554
1	408
0	112
0	637
0	257
0	244
0	163
0	280
0	110
